video_id,title,publishedAt,channelId,channelTitle,categoryId,trending_date,tags,view_count,likes,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
"1bvYHkQxWmg","Yo Yo Honey Singh: MAKHNA Video Song | Neha Kakkar, Singhsta, TDO | Bhushan Kumar","2018-12-21T08:00:20.000Z","UCq-Fj5jknLsUf-MWSy4_brA","T-Series","10","18.25.12","Yo Yo Honey Singh,makhna,makhna video,makhna honey singh,makhna yo yo honey singh,honey singh,yo yo honey singh,neha kakkar,makhna song,honey singh songs,honey singh songs 2018,honey singh songs new,honey singh new video,neha kakkar songs,hindi songs,songs 2018,punjabi songs 2018,latest punjabi videos,new punjabi songs,honey singh new song,neha kakkar latest song,makhna honey singh song,new songs 2018 bollywood,neha kakkar dance,nikle currant","40351471","1587887","150007","227738","https://i.ytimg.com/vi/1bvYHkQxWmg/default.jpg","False","False","Presenting the full video song of Yo Yo Honey Singh comeback video MAKHNA. A Prestige Diamond and Jewel exhibition in India which the world comes to see gets hit by a twist featuring Yo Yo Honey Singh, Nidhi Sunil, Singhsta along with Pinaki, Sean, Allistair (TDO).♫ STREAMING ON ♫♪ iTunes : http://bit.ly/Makhna-iTunes♪ Hungama : http://bit.ly/Makhna-Hungama♪ Saavn : http://bit.ly/Makhna-Saavn♪ Gaana : http://bit.ly/Makhna-Gaana♪ Apple Music : http://bit.ly/Makhna-Apple-Music♪ Amazon Prime Music : http://bit.ly/Makhna-Amazon-Prime-Music♪ Google Play : http://bit.ly/Makhna-Google-Play♪ Wynk : http://bit.ly/Makhna-Wynk--------------------------------------------------------------------------------------------------♪ Produced By: Bhushan Kumar ♪ Co Produced By: Bobby Suri, YoYo Honey Singh♪ Directed By: Daniel Duran ♪ Creative Director: Mihir Gulati________________________________________♫ Song Details ♫♪ Music: Yo Yo Honey Singh ♪ Singer: Yo Yo Honey Singh, Neha Kakkar, Singhsta, Pinaki, Sean, Allistair ♪ Music Produced By: Yo Yo Honey Singh♪ Lyrics: Yo Yo Honey Singh, Singhsta, Hommie Dilliwala ♪ Audio Mix: Luis Barrera Jr♪ Audio Master: Redtraxx Mastering♫ Starring: Yo Yo Honey Singh, Nidhi Sunil, Singhsta, Pinaki, Sean, Allistair♪ Edited By: Mihir Gulati & Hitesh Chandwani (Frogalised Productions)♪ Post Team: Rishabh Dang (Assistant Editor), Rahul Beniwal, (Gfx) Amog♪ Styling: Ruby Bhatia, Arjun Rao, Neesha Sharma♪ Digital Pubilicity: RDM Media ♪ Executive Producer: Subodh Gupta ♪ Executive Producer: Daniela Sanchez♪ Music Label: T-SeriesListen to Honey Singh Songs - https://bit.ly/2T17Rx6#YoYoHoneySinghSongs #Makhna-----------------------------------------------------------------------------------------------Enjoy & stay connected with us!► Subscribe to T-Series: http://bit.ly/TSeriesYouTube► Like us on Facebook: https://www.facebook.com/tseriesmusic► Follow us on Twitter: https://twitter.com/tseries► Follow us on Instagram: http://bit.ly/InstagramTseries"
"kk99KdrraJI","BB Ki Vines- | The Salesman- Part 2 |","2018-12-22T10:30:02.000Z","UCqwUrj10mAEsqezcItqvwEw","BB Ki Vines","24","18.25.12","salesman,sameer fuddi,bancho,funny,humor,comedy,hilarious,bollywood,bhuvan bam,bb ki vines","8673475","725752","20340","52233","https://i.ytimg.com/vi/kk99KdrraJI/default.jpg","False","False","The salesman has arrived once again to sell his unique products!Download Fortnite for free here: https://pixly.go2cloud.org/SHw9My favourite Mivi Wireless Earphones : https://mivi.shop/ed8eSpecial Coupon Code for BB Army: BBDECBuy BB Ki Vines Official Merchandise here:https://youthiapa.com/Facebook► https://www.facebook.com/BBkiVines/Instagram► bhuvan.bam22Snapchat► bbkv22Twitter►https://twitter.com/Bhuvan_Bam and https://twitter.com/BBkv22.This is an all original work of BB Ki Vines.Thanks to Epic Games for sponsoring this video."
"jkOhv9VoBu4","Krishnarjuna Yuddham 2018 New Released Full Hindi Dubbed Movie || Nani, Anupama, Rukshar Dhillon","2018-12-22T19:30:00.000Z","UCX_uPA_dGf7wXjuMEaSKLJA","Aditya Movies - Telugu & Hindi","1","18.25.12","Krishnarjuna Yuddham,Krishnarjuna Yuddham Full Movie,Krishnarjuna Yuddham 2018,Hindi Dubbed Movie,south movie 2018,new hindi movie 2018,new south indian movies dubbed in hindi 2018 full,new movies 2018,new hindi movies 2018,south indian movies dubbed in hindi full movie 2017,latest south indian movies,latest hindi movies,new hindi dubbed movies,telugu latest dubbed movies,Nani,Nani New Movies,Nani Hindi Movies,Anupama,Anupama Movies,Rukshar Dhillon","9644235","124154","6915","7694","https://i.ytimg.com/vi/jkOhv9VoBu4/default.jpg","False","False","Presenting South (Sauth) Indian Movies Dubbed In Hindi Full Movie 2018 New (Hindi Movies, South Movie 2018, 2018 New Hindi Dubbed Movie) Krishnarjuna Yuddham .Starring #Nani , #Anupama, #RuksharDhillon . Exclusively on Aditya Movies - Telugu & Hindi.Subscribe to 'Aditya Movies - Telugu & Hind' For More South Indian Blockbusters in Hindi for FREE - https://goo.gl/DdzwP7List Of Our Superhit South Indian Movies Dubbed In Hindi:✪ A Aa - https://youtu.be/R7aCOI4DuA0✪ Mere Badle Ki Taaqat - https://youtu.be/U6LjjDtSeME✪ Mard The Khiladi - https://youtu.be/mN8OH69BZC4✪ Koharam - https://youtu.be/X0Idbtk817A✪ Aakhri Warning - https://youtu.be/jn9sNuFaKe0✪ Watan Ka Rakhwala - https://youtu.be/LCgCSBDl5yY#HindiMovies #SouthMovie #KrishnarjunaYuddham#Nani #Anupama #RuksharDhillonCredits: Film Name : Krishnarjuna YuddhamCast: Nani, Anupama , Rukshar Dhillon                Producer: Aditya Movies & Entertainments (INDIA) LLP.HYDERABADDirector:  Merlapaka Gandhi Music : Hiphop TamizhaCinematography : Karthik Ghattamaneni------------------------------------------------------------------For More Full Movies , Subscribe to:►https://www.youtube.com/user/adityacinemaFor Hit & Latest Music:►https://www.youtube.com/user/adityamusicFor Devotional Music: ►https://www.youtube.com/user/adityadevotional►Like us on Facebbok: http://www.facebook.com/adityamusic►Follow us on Twitter: http://www.twitter.com/adityamusic►Follow us on Instagram: https://www.instagram.com/adityamusicindia►Follow us on LinkedIn: http://bit.ly/2Pp6ze3►Circle us: https://plus.google.com/+adityamusic© 2018 Aditya Music India Pvt. Ltd."
"AuHGmN_Y_9A","The iPhone Story : Halkat Call 14 | Angry Prash","2018-12-24T08:34:08.000Z","UCz-iDa_Z-GWaZ_YweEus6iw","Angry Prash","23","18.25.12","iphone,funny call,prank call,christmas,halkat call,prank,comedy,funny,video,funny videos,angry prash,indian,cartoon,animation,hindi","870790","136083","4448","9363","https://i.ytimg.com/vi/AuHGmN_Y_9A/default.jpg","False","False","This funny video is about phone insurance company guy call's to prash for his new iPhone insurance, which he gifted to himself on Christmas.Outro Music► Goblins From Mars - Star Warshttps://youtu.be/zKLvCERsrd0 Join Me On-Facebook►- https://www.facebook.com/angryprashTwitter► https://twitter.com/angryprashInstagram► https://www.instagram.com/angryprashAbout Angry Prash is a Indian YouTuber, where you will find different types of comedy videos in hindi :)#prankcall #funnycall"
"lS-gH6ZlEp8","Naayagi Episode 261, 24/12/18","2018-12-24T15:00:10.000Z","UC-lJ-F5mlPP6SYPkkq6gjwA","VikatanTV","43","18.25.12","naayagi today episode,Naayagi 24/12/18,Naayagi 24/12/2018,Naayagi Episode 261,vikatan,vikatantv,Naayagi latest episode,Naayagi episode today","734911","4589","973","673","https://i.ytimg.com/vi/lS-gH6ZlEp8/default.jpg","False","False","USee Shop appAndroid   http://bit.ly/2S8QniRApple   https://apple.co/2EzxseeNaayagi Episode 261Subscribe: https://goo.gl/eSvMiG  Vikatan App - http://bit.ly/2QvUBTD Prev Episode: http://bit.ly/2KWR5N7  Best of Naayagi: http://bit.ly/2LzLHlLPromos: https://goo.gl/iptj14 Facebook: https://goo.gl/Ze4PrFNaayagi (Nayagi or Nayaki) is a 2018 Tamil language family soap opera, a serial with daily episode, starring Vidya Pradeep, Papri Ghosh, Ambika, Dhilip Rayan, Vetri Velan, Meera Krishnan and Suresh Krishnamurthi. It is the story of Anandhi, heir apparent to a business empire but separated at birth from her parents who were killed treacherously by their aide Kalivardhan. The show replaced Deivamagal and is produced by Vikatan Televistas Pvt Ltd. This Tamil daily serial airs on SUN TV, every Monday to Saturday at 8:00 pm.Here is today’s episode. Yesterday episode link above."
"_Uo1zfilRE0","क्रोध - (2019) पवन सिंह की सबसे बड़ी फिल्म - HD 2019 - कमजोर दिल वाले मत देखें ||","2018-12-24T13:30:00.000Z","UCaP6L7U9mq8C3OehlBhwqgg","Wave Music - Bhojpuri Movies","1","18.25.12","पवन सिंह,pawan Singh,pawan Singh 2019,pawan singh bhojpuri movie 2019,pawan singh new movie 2019,pawan singh hd movie 2019,latest bhojpuri movie 2019,pawan movie 2019,hd 2019,new movie 2019,hd movie 2019,pawan singh new hd 2019,bhojpuri film 2019,bhojpuri hd movie 2019,bhojpuri movie 2019,pawan 2019,new bhojpuri movie 2019,pawan singh 2019 hd,2019,hd,pawan bhojpuri film 2019,pawan new 2019 film","1906827","5262","2066","590","https://i.ytimg.com/vi/_Uo1zfilRE0/default.jpg","False","False","क्रोध - (2019) पवन सिंह की सबसे बड़ी फिल्म - HD 2019 - कमजोर दिल वाले मत देखें || क्रोध - (2019) पवन सिंह की सबसे बड़ी फिल्म - HD 2019 - कमजोर दिल वाले मत देखें || क्रोध - (2019) पवन सिंह की सबसे बड़ी फिल्म - HD 2019 - कमजोर दिल वाले मत देखें || क्रोध - (2019) पवन सिंह की सबसे बड़ी फिल्म - HD 2019 - कमजोर दिल वाले मत देखें || क्रोध - (2019) पवन सिंह की सबसे बड़ी फिल्म - HD 2019 - कमजोर दिल वाले मत देखें || क्रोध - (2019) पवन सिंह की सबसे बड़ी फिल्म - HD 2019 - कमजोर दिल वाले मत देखें || क्रोध - (2019) पवन सिंह की सबसे बड़ी फिल्म - HD 2019 - कमजोर दिल वाले मत देखें ||"
"mnHXhv_gL_0","SOMI KHAN EVICTION Interview: Deepak’s LOVE For Me is PURE; Romil Played Dirty Game | Bigg Boss 12","2018-12-23T16:30:00.000Z","UCVGiG3GcphUyMzNXg2iMN3A","Telly Reporter","24","18.25.12","bigg boss 12,somi khan,somi khan eviction,Somi Khan Interview,romil chaudhary,bigg boss weekend ka vaar latest,bigg boss 12 weekend ka vaar today,somi khan eviction interview,bigg boss 12 23 December Full Episode,BB12 Episode Update,big boss 12 eviction,Bigg Boss 12 Full Episodes,Romil & Somi Romance,Deepak Thakur,sreesanth,dipika kakar,somi khan interview,weekend ka vaar,bigg boss 12 weekend ka vaar,23 decemeber 2018,somi khan telly reporter","1343873","13819","3404","4244","https://i.ytimg.com/vi/mnHXhv_gL_0/default.jpg","False","False","BB12 EVICTED Somi Khan Interview: I’m An Emotional Fool; Romil Played Dirty Game | Bigg Boss 12 Finale And Also Comments That Deepak's Love For Me Was Real | Named Surbhi as biggest villain In BB12 | TellyReporter Exclusive.#BB12 #BiggBoss12 #SomiKhan➤Subscribe Telly Reporter @ http://bit.do/TellyReporter⦿SOCIAL MEDIA Links⦿➤https://www.facebook.com/TellyReporter➤https://twitter.com/TellyReporter➤https://www.instagram.com/TellyReporter➤G+ @ https://plus.google.com/u/1/+TellyReporter"
"qSPpWo4lDj4","Azhagu - Tamil Serial | அழகு | Episode 335 | Sun TV Serials | 24 Dec 2018 | Revathy | Vision Time","2018-12-24T14:20:43.000Z","UCOpUWgNJq1kUlB3Z5KM7X-A","Vision Time Tamil","24","18.25.12","Azhagu,அழகு,Azhagu Tamil Serial,Full Episode 335,Sun TV Serials,24 December 2018,Thalaivasal Vijay,Vision Time,azhagu serial,azhagu serial today episode,azhagu serial yesterday episode,azhagu tamil serial,azhagu tamil serial today episode,azhagu tv serial,azhagu yesterday tamil serial,azhagu latest sun tv,azhagu latest serial,Revathy tamil serial,Revathy latest serial,Revathy sun tv serial,latest sun tv serial,azhagu latest episodes","911262","5893","883","969","https://i.ytimg.com/vi/qSPpWo4lDj4/default.jpg","False","False","Azhagu Tamil Serial latest Full Episode 335 Telecasted on 24 December 2018 in Sun TV. Azhagu Serial ft. Revathy, Thalaivasal Vijay, Shruthi Raj and Aishwarya in the lead roles. Azhagu serail Produced by Vision Time, Directed by ON Rathnam, Dialogues by Jagan. Azhagu serial deals with the nuances of love between a husband (Thalaivasal Vijay) and wife (Revathi), even though they have been married for decades, and have successful and very strong individual personas.Click here to watch : Azhagu Full Episode 334 - https://youtu.be/55doKIflMVkAzhagu Full Episode 333 - https://youtu.be/rQzX6alcGiYAzhagu Full Episode 332 - https://youtu.be/gQpVYbBhBnoAzhagu Full Episode 331 https://youtu.be/ijaUGtBx88sAzhagu Full Episode 330 https://youtu.be/Uip2I1i_sVcAzhagu Full Episode 329 https://youtu.be/XHsKbvJODlgAzhagu Full Episode 328 https://youtu.be/K4zb5icuXqwAzhagu Full Episode 326 https://youtu.be/-Jx1oqdOLsQAzhagu Full Episode 325 https://youtu.be/LYoXqqlYsr8Subscribe for latest Azhagu Episodes - http://bit.ly/SubscribeVTLike us on - https://www.facebook.com/visiontimeindia"
"7UslTkBHTtw","Challa (Main Lad Jaana) - URI | Vicky Kaushal , Yami Gautam | Shashwat S | Romy | Vivek Hariharan","2018-12-24T10:38:53.000Z","UCFFbwnve3yF62-tVXkTyHqg","Zee Music Company","10","18.25.12","Challa,Challa Uri Song,Main Lad Jaana,Challa Main Lad Jaana,Vicky Kaushal Song,Yami Gautam Songs,Shashwat Sachdev,Shashwat Sachdev Songs,Romy,Vivek Hariharn Songs,Yami Gautam,New Bollywood Songs,uri the surgical strike,Surgical strike movies,new songs2019,zee music company,chala songs,chala uri song","1451496","94612","2047","6143","https://i.ytimg.com/vi/7UslTkBHTtw/default.jpg","False","False","To stream & download Full Song -Gaana -  http://bit.ly/2QL8mihSaavn -  http://bit.ly/2PZX8RzWynk -  http://bit.ly/2rTzZXriTunes -  https://apple.co/2EM7raTAmazon Prime Music - https://amzn.to/2SjOVd5Hungama Music - http://bit.ly/2rTApNvReleasing in cinemas on 11th Jan 2019. Singer(s): Romy, Vivek Hariharan & Shashwat SachdevMusic: Shashwat SachdevLyrics: KumaarExecutive Music Producer: Vivek HariharanBacking Vocal(s): Yamy Singh, Arun Ingle, Mandar Apte, Nitin Tupe & Mayuresh MadgavkarMusic Produced & Performed By Shashwat SachdevPlucked Instrument(s): Tapas RoyBass: Mohini DeyTumbi: RomyDhol: Manoj Kumar Hela, Asfak Khavra, Kadir Khavra, Husen Langha, Iqbal Shiekh, Kadir Shiekh Sound Engineers             Yash Raj Studios, Mumbai: Shantanu HudlikarAssistant to Shantanu Hudlikar  Abhishek, ManasiKuhn Labs, Mumbai: Shashwat SachdevAsia Music Vision, Mumbai Rahul SharmaMixed & Mastered By Shadab Rayeen@NewEdgeAssistant to Shadab Rayeen Abhishek SorteyCast: Vicky Kaushal, Paresh Rawal, Yami GautamWritten & Directed By Aditya DharProducer: Ronnie ScrewvalaAssociate Producer: Sonia KanwarDirector of Photography: Mitesh MirchandaniLyrics:Main Lad Jaana Main Lad JaanaHai Lahoo Mein Ek ChingaariZidd Se Junoon Tak Hai JaanaHar Katra Bol RahaMain Lad Jaana x 3 (Twice)Main Lad Jaana Main Lad JaanaHai Lahoo Mein Ek ChingaariZidd Se Junoon Tak Hai JaanaHar Katra Bol RahaMain Lad Jaana x 3 (Twice)Challa Sirte Banke Kafan Jad Tureya Tanke Maut Nu Wajahn MaareVe Thar Thar Kambde Saare (x2)Main Lad Jaana x 3 (Twice)Yeh Dil Ki MashaaleinJosh Se Jala KeJalti lapton Ko Humne Haathon Mein Hai Thaam LiyaHai Woh Kar JaanaKe Saara ZamanaaPhir Dega Misaala YaroonSabko Apne Naam DiyaanMain Lad Jaana Main Lad JaanaHai Lahoo Mein Ek ChingaariZidd Se Junoon Tak Hai JaanaHar Katra Bol RahaChalla Sirte Banke Kafan Jad Tureya Tanke Maut Nu Wajahn MaareVe Thar Thar Kambde Saare (x2)#ZeeMusicOriginalsMusic on Zee Music CompanyConnect with us on :Twitter - https://www.twitter.com/ZeeMusicCompanyFacebook - https://www.facebook.com/zeemusiccompanyYouTube - http://bit.ly/TYZMC"
"DerrnwDRALY","ஈரமான ரோஜாவே | 24th to 29th December 2018 - Promo","2018-12-23T11:23:41.000Z","UCvrhwpnp2DHYQ1CbXby9ypQ","Vijay Television","24","18.25.12","Star,Star Vijay TV,Vijay TV,Vijay,Redefining Entertainment,தமிழ்,விஜய்,டிவி,தொலைக்காட்சி,Tamil TV,Tamil Shows,ஈரமான ரோஜாவே,Eeramaana Rojaave","985114","10131","608","460","https://i.ytimg.com/vi/DerrnwDRALY/default.jpg","False","False","#EeramaanaRojaave #VijayTV #VijayTelevision #StarVijayTV #StarVijay #TamilTV #ஈரமான ரோஜாவே - திங்கள் முதல் சனிக்கிழமை வரை மதியம் 2:30 மணிக்கு உங்கள் விஜயில்.. Click here https://www.hotstar.com/tv/eeramaana-rojaave/18198 to watch the show on hotstar.."
